Date,rates
10/01/2009,6.95
11/01/2009,7.01
12/01/2009,7.07
01/01/2010,7.11
02/01/2010,7.08
03/01/2010,6.95
04/01/2010,6.59
05/01/2010,6.58
06/01/2010,6.54
07/01/2010,6.48
08/01/2010,6.42
09/01/2010,6.08
10/01/2010,5.97
11/01/2010,5.65
12/01/2010,5.59
01/01/2011,5.54
02/01/2011,5.53
03/01/2011,5.5
04/01/2011,5.46
05/01/2011,5.45
06/01/2011,5.46
07/01/2011,5.49
08/01/2011,5.49
09/01/2011,5.49
10/01/2011,5.49
11/01/2011,5.49
12/01/2011,5.46
01/01/2012,5.47
02/01/2012,5.5
03/01/2012,5.54
04/01/2012,5.56
05/01/2012,5.56
06/01/2012,5.58
07/01/2012,5.37
08/01/2012,5.05
09/01/2012,4.94
10/01/2012,4.94
11/01/2012,4.93
12/01/2012,4.99
01/01/2013,5.06
02/01/2013,5.04
03/01/2013,5.05
04/01/2013,5.12
05/01/2013,5.03
06/01/2013,5.12
07/01/2013,5.12
08/01/2013,5.09
09/01/2013,5.06
10/01/2013,5.04
11/01/2013,5.07
12/01/2013,5.14
01/01/2014,5.22
02/01/2014,5.56
03/01/2014,5.73
04/01/2014,5.74
05/01/2014,5.74
06/01/2014,5.79
07/01/2014,6.03
08/01/2014,6.01
09/01/2014,6
10/01/2014,5.9
11/01/2014,5.84
12/01/2014,6.04
01/01/2015,6
02/01/2015,5.88
03/01/2015,5.8
04/01/2015,5.8
05/01/2015,5.73
06/01/2015,5.76
07/01/2015,6.03
08/01/2015,6.16
09/01/2015,6.24
10/01/2015,6.16
11/01/2015,6.33
12/01/2015,6.74
01/01/2016,6.86
02/01/2016,6.93
03/01/2016,7.04
04/01/2016,7.18
05/01/2016,7.16
06/01/2016,7.2
07/01/2016,7.35
08/01/2016,7.3
09/01/2016,7.29
10/01/2016,7.35
11/01/2016,7.48
12/01/2016,7.61
01/01/2017,7.46
